beat_index,beat_time_sec,ch0.r_amp,ch0.s_amp,ch0.rs_ratio,ch0.qrs_max_slope,ch0.qrs_area,ch0.qrs_energy,ch0.st_j,ch0.st_60ms,ch0.st_80ms,ch0.t_peak_amp,ch0.t_area,ch0.qrs_notches,ch0.qrs_is_fragmented,ch0.waveE_L1,ch0.waveE_L2,ch0.waveE_L3,ch0.waveE_L4,ch0.waveE_L5,morph_corr_allleads,ST60_max_abs,ST60_max_lead,ST80_max_abs,ST80_max_lead
80,149.948,140.6233489866313,83.58872125746001,1.682324443671055,13337.582187245858,11.536550846881086,612703.6179972342,83.58872125746001,119.11173699948358,198.47460371969038,-32776.352153732,-421.1993706350323,1.0,0.0,,,,,,0.07955696787026009,119.11173699948358,ch0.st_60ms,198.47460371969038,ch0.st_80ms
81,150.206,3036.5191357524996,1356.8346144763848,2.2379434481956526,3416305.0054000607,538.7276094159332,6075240497.822463,1356.8346144763848,30.870935723407968,-28.29246129386445,106.18575287993389,2.446483273904234,4.0,1.0,,,,,,-0.009274316994292854,30.870935723407968,ch0.st_60ms,28.29246129386445,ch0.st_80ms
82,150.416,-35.38954961899344,-167.59398113852734,-0.21116241393980417,12940.310145301935,9.258125723399065,434769.15887752135,-121.36719189817774,-89.89729198877916,-164.87517621616047,-155.1641047996652,-30.02591241344921,11.0,1.0,,,,,,0.39091988506115455,89.89729198877916,ch0.st_60ms,164.87517621616047,ch0.st_80ms
83,153.32,1544.9656446595914,453.53768492795234,3.4064768948693205,1440204.4101267029,232.7092511234536,786715836.3926593,453.53768492795234,-30.657090915169874,4.0222751479341525,62.75395583693805,-3.236592647379848,5.0,1.0,,,,,,0.008730781513344228,30.657090915169874,ch0.st_60ms,4.0222751479341525,ch0.st_80ms
84,154.788,1882.996809038527,-17295.705212197357,0.10887077375200586,2067660.8909349502,261.90212596850364,1469781076.6759057,248.79158270707723,16.463691117073324,10.622392192192365,98.40979181911524,-0.6426992401185394,4.0,1.0,,,,,,0.018240893551049953,16.463691117073324,ch0.st_60ms,10.622392192192365,ch0.st_80ms
85,168.326,201.58985169752097,126.54768116131422,1.5929952239942524,9155.024921626024,12.917067322832127,834350.4314740645,162.60545724989743,65.72093751086081,25.33560391882326,-64.48825325636693,-1.4806276973151153,0.0,0.0,,,,,,0.5416761893504995,65.72093751086081,ch0.st_60ms,25.33560391882326,ch0.st_80ms
86,170.1,-231.88574657567324,-571.3988858639727,-0.40582113880928355,19774.342108296365,32.65004120040332,6290500.997065797,-571.3988858639727,-337.41322666552435,-346.74211081126487,287.72699018219663,-5.743671351330371,1.0,0.0,,,,,,-0.34196126934458587,337.41322666552435,ch0.st_60ms,346.74211081126487,ch0.st_80ms
87,170.354,657.3916646008024,290.0717409504911,2.2663071640370673,12249.738504688623,74.39249583733698,17710148.47785023,367.1765334118065,389.15667960166,427.53575992282265,444.03465454517516,9.978122032049372,0.0,0.0,,,,,,0.4089719626991459,389.15667960166,ch0.st_60ms,427.53575992282265,ch0.st_80ms
88,182.698,1521.0882239405496,-11671.269734339552,0.13032757005565207,1445182.2941629498,177.8708714971328,680738636.4894494,432.40089074206486,56.3838948347764,25.67829266541891,88.3187608517021,3.5236034373444824,4.0,1.0,,,,,,0.020268663388593993,56.3838948347764,ch0.st_60ms,25.67829266541891,ch0.st_80ms
89,186.47,251.31062169217938,101.95538085194185,2.464907880214082,15953.934976733435,22.24587985842875,1938149.499492314,201.51719034304267,71.23598385843931,45.73560783513439,-27.98036525390468,1.9179117049872922,0.0,0.0,,,,,,0.5503236224445975,71.23598385843931,ch0.st_60ms,45.73560783513439,ch0.st_80ms
